Number Code Description
1 NA 'Left CaudalMiddleFrontal'
2 NA 'Left EntorhinalCortex'
3 NA 'Left PostcentralGyrus'
4 NA 'Left LateralFrontalTriangularis'
5 NA 'Left SupramarginalGyrus'
6 NA 'Left MiddleFILLING'
7 NA 'Left Insula'
8 NA 'Left LateralOrbitofrontal'
9 NA 'Left LateralFrontalOrbitalis'
10 NA 'Left MiddleTemporal'
11 NA 'Left Pericalcarine'
12 NA 'Left Parahippocampal'
13 NA 'Left ParacentralGyrus'
14 NA 'Left MedialOrbitofrontal'
15 NA 'Left Cuneus'
16 NA 'Left InferiorTemporal'
17 NA 'Left RostralMiddleFrontal'
18 NA 'Left RostralAnteriorCingulate'
19 NA 'Left IsthmusCingulateGyrus'
20 NA 'Left InferiorOccipitalCortex'
21 NA 'Left LingualGyrus'
22 NA 'Left SuperiorParietal'
23 NA 'Left LateralFrontalOpercularis'
24 NA 'Left FusiformGyrus'
25 NA 'Left CaudalAnteriorCingulate'
26 NA 'Left SuperiorFrontalGyrus'
27 NA 'Left Precuneus'
28 NA 'Left TransverseTemporal'
29 NA 'Left PrecentralGyrus'
30 NA 'Left InferiorParietal'
31 NA 'Left PosteriorCingulate'
32 NA 'Left SuperiorTemporal'
101 NA 'Right CaudalMiddleFrontal'
102 NA 'Right EntorhinalCortex'
103 NA 'Right PostcentralGyrus'
104 NA 'Right LateralFrontalTriangularis'
105 NA 'Right SupramarginalGyrus'
106 NA 'Right MiddleFILLING'
107 NA 'Right Insula'
108 NA 'Right LateralOrbitofrontal'
109 NA 'Right LateralFrontalOrbitalis'
110 NA 'Right MiddleTemporal'
111 NA 'Right Pericalcarine'
112 NA 'Right Parahippocampal'
113 NA 'Right ParacentralGyrus'
114 NA 'Right MedialOrbitofrontal'
115 NA 'Right Cuneus'
116 NA 'Right InferiorTemporal'
117 NA 'Right RostralMiddleFrontal'
118 NA 'Right RostralAnteriorCingulate'
119 NA 'Right IsthmusCingulateGyrus'
120 NA 'Right InferiorOccipitalCortex'
121 NA 'Right LingualGyrus'
122 NA 'Right SuperiorParietal'
123 NA 'Right LateralFrontalOpercularis'
124 NA 'Right FusiformGyrus'
125 NA 'Right CaudalAnteriorCingulate'
126 NA 'Right SuperiorFrontalGyrus'
127 NA 'Right Precuneus'
128 NA 'Right TransverseTemporal'
129 NA 'Right PrecentralGyrus'
130 NA 'Right InferiorParietal'
131 NA 'Right PosteriorCingulate'
132 NA 'Right SuperiorTemporal'
